Data_Execucao;Data_Ultima_Leitura;Data_Prevista;Temp_Media_Prevista_C;Temp_Min_Prevista_C;Temp_Max_Prevista_C;Temp_Media_API_Externa_C;Temp_Min_API_Externa_C;Temp_Max_API_Externa_C;Diferenca_Media_C;Diferenca_Min_C;Diferenca_Max_C
2026-09-09 16:37:33;2026-09-09 23:00;2026-09-10;28.19;22.97;33.37;27.3;22.3;32.9;0.89;0.67;0.47
2026-09-09 16:48:42;2026-09-09 23:00;2026-09-10;28.13;22.94;33.29;27.3;22.3;32.9;0.83;0.64;0.39
2026-09-09 16:51:06;2026-09-09 23:00;2026-09-10;28.13;22.94;33.29;27.3;22.3;32.9;0.83;0.64;0.39
2026-09-11 12:42:00;2026-09-11 23:00;2026-09-12;27.63;22.79;32.73;28.4;22.4;34.5;-0.77;0.39;-1.77
2026-09-11 12:42:21;2026-09-11 23:00;2026-09-12;27.63;22.79;32.73;28.4;22.4;34.5;-0.77;0.39;-1.77
2026-09-11 12:49:40;2026-09-11 23:00;2026-09-12;27.63;22.79;32.73;28.4;22.4;34.5;-0.77;0.39;-1.77
2026-09-11 12:50:30;2026-09-11 23:00;2026-09-12;27.63;22.79;32.73;28.4;22.4;34.5;-0.77;0.39;-1.77
2026-09-11 12:54:52;2026-09-11 23:00;2026-09-12;27.63;22.79;32.73;28.4;22.4;34.5;-0.77;0.39;-1.77
2026-09-11 12:56:44;2026-09-11 23:00;2026-09-12;27.63;22.79;32.73;28.4;22.4;34.5;-0.77;0.39;-1.77
2026-09-11 13:20:37;2026-09-11 23:00;2026-09-12;28.07;23.13;33.33;28.4;22.4;34.5;-0.33;0.73;-1.17
2026-09-11 14:39:14;2026-09-11 23:00;2026-09-12;28.27;23.3;33.51;28.4;22.4;34.5;-0.13;0.9;-0.99
2026-09-11 15:36:02;2026-09-11 23:00;2026-09-12;28.8;23.7;34.07;28.4;22.4;34.5;0.4;1.3;-0.43
2026-09-11 15:45:07;2026-09-11 23:00;2026-09-12;28.8;23.7;34.07;28.3;22.4;34.4;0.5;1.3;-0.33
2026-09-11 16:06:22;2026-09-11 23:00;2026-09-12;28.8;23.7;34.07;28.3;22.4;34.4;0.5;1.3;-0.33
2026-09-11 16:07:57;2026-09-11 23:00;2026-09-12;28.8;23.7;34.07;28.3;22.4;34.4;0.5;1.3;-0.33
2026-09-11 16:08:45;2026-09-11 23:00;2026-09-12;28.8;23.7;34.07;28.3;22.4;34.4;0.5;1.3;-0.33
2026-09-11 16:33:56;2026-09-11 23:00;2026-09-12;28.92;23.69;34.22;28.3;22.4;34.4;0.62;1.29;-0.18
2026-09-11 16:59:48;2026-09-11 23:00;2026-09-12;29.01;23.57;34.27;28.3;22.4;34.4;0.71;1.17;-0.13
2026-09-12 12:47:33;2026-09-12 23:00;2026-09-13;28.14;23.12;33.15;28.6;22.3;35.0;-0.46;0.82;-1.85
2026-09-12 12:49:05;2026-09-12 23:00;2026-09-13;28.14;23.12;33.15;28.6;22.3;35.0;-0.46;0.82;-1.85
2026-09-12 12:57:24;2026-09-12 23:00;2026-09-13;28.14;23.12;33.15;28.6;22.3;35.0;-0.46;0.82;-1.85
2026-09-12 13:02:03;2026-09-12 23:00;2026-09-13;28.14;23.12;33.15;28.6;22.3;35.0;-0.46;0.82;-1.85
2026-09-12 13:40:56;2026-09-12 23:00;2026-09-13;28.37;23.23;33.47;28.6;22.3;35.0;-0.23;0.93;-1.53
2026-09-12 13:41:22;2026-09-12 23:00;2026-09-13;28.37;23.23;33.47;28.6;22.3;35.0;-0.23;0.93;-1.53
2026-09-12 13:41:28;2026-09-12 23:00;2026-09-13;28.37;23.23;33.47;28.6;22.3;35.0;-0.23;0.93;-1.53
2026-09-12 13:41:28;2026-09-12 23:00;2026-09-13;28.37;23.23;33.47;28.6;22.3;35.0;-0.23;0.93;-1.53
2026-09-12 13:41:56;2026-09-12 23:00;2026-09-13;28.37;23.23;33.47;28.6;22.3;35.0;-0.23;0.93;-1.53
2026-09-12 13:52:35;2026-09-12 23:00;2026-09-13;28.37;23.23;33.47;28.6;22.3;35.0;-0.23;0.93;-1.53
2026-09-12 13:58:59;2026-09-12 23:00;2026-09-13;28.37;23.23;33.47;28.6;22.3;35.0;-0.23;0.93;-1.53
2026-09-12 14:11:43;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:32:14;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:42:14;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:50:24;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:50:52;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:51:02;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:51:16;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:51:28;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:52:48;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:53:41;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 14:55:43;2026-09-12 23:00;2026-09-13;29.21;23.69;34.5;28.6;22.3;35.0;0.61;1.39;-0.5
2026-09-12 16:16:06;2026-09-12 23:00;2026-09-13;29.97;24.16;35.27;28.7;22.2;35.2;1.27;1.96;0.07
2026-09-12 17:51:22;2026-09-12 23:00;2026-09-13;29.91;24.17;35.2;28.7;22.2;35.2;1.21;1.97;-0.0
2026-09-12 17:55:24;2026-09-12 23:00;2026-09-13;29.91;24.17;35.2;28.7;22.2;35.2;1.21;1.97;-0.0
2026-09-12 17:56:21;2026-09-12 23:00;2026-09-13;29.91;24.17;35.2;28.7;22.2;35.2;1.21;1.97;-0.0
2026-09-14 11:09:39;2026-09-14 23:00;2026-09-15;26.2;22.22;30.75;27.5;21.0;33.9;-1.3;1.22;-3.15
2026-09-14 11:46:11;2026-09-14 23:00;2026-09-15;26.2;22.22;30.75;27.5;21.0;33.9;-1.3;1.22;-3.15
